YYYY,MM,DD,hh.h,hh._m,days,days_m,Hp60,ap60,D
2026,01,01,00.0,00.50,34334.00000,34334.02083,2.333,9,0
2026,01,01,01.0,01.50,34334.04167,34334.06250,1.667,6,0
2026,01,01,02.0,02.50,34334.08333,34334.10416,2.000,7,0
2026,01,01,03.0,03.50,34334.12500,34334.14583,3.667,22,0
2026,01,01,04.0,04.50,34334.16667,34334.18750,3.333,18,0
2026,01,01,05.0,05.50,34334.20833,34334.22916,2.667,12,0
2026,01,01,06.0,06.50,34334.25000,34334.27083,2.000,7,0
2026,01,01,07.0,07.50,34334.29167,34334.31250,2.333,9,0
2026,01,01,08.0,08.50,34334.33333,34334.35416,2.667,12,0
2026,01,01,09.0,09.50,34334.37500,34334.39583,3.333,18,0
2026,01,01,10.0,10.50,34334.41667,34334.43750,2.333,9,0
2026,01,01,11.0,11.50,34334.45833,34334.47916,3.000,15,0
2026,01,01,12.0,12.50,34334.50000,34334.52083,3.000,15,0
2026,01,01,13.0,13.50,34334.54167,34334.56250,3.333,18,0
2026,01,01,14.0,14.50,34334.58333,34334.60416,3.333,18,0
2026,01,01,15.0,15.50,34334.62500,34334.64583,3.000,15,0
2026,01,01,16.0,16.50,34334.66667,34334.68750,2.000,7,0
2026,01,01,17.0,17.50,34334.70833,34334.72916,2.667,12,0
2026,01,01,18.0,18.50,34334.75000,34334.77083,2.667,12,0
2026,01,01,19.0,19.50,34334.79167,34334.81250,2.667,12,0
2026,01,01,20.0,20.50,34334.83333,34334.85416,2.000,7,0
2026,01,01,21.0,21.50,34334.87500,34334.89583,2.667,12,0
2026,01,01,22.0,22.50,34334.91667,34334.93750,2.667,12,0
2026,01,01,23.0,23.50,34334.95833,34334.97916,2.667,12,0
2026,01,02,00.0,00.50,34335.00000,34335.02083,2.667,12,0
2026,01,02,01.0,01.50,34335.04167,34335.06250,2.667,12,0
2026,01,02,02.0,02.50,34335.08333,34335.10416,3.000,15,0
2026,01,02,03.0,03.50,34335.12500,34335.14583,3.333,18,0
2026,01,02,04.0,04.50,34335.16667,34335.18750,3.667,22,0
2026,01,02,05.0,05.50,34335.20833,34335.22916,4.667,39,0
2026,01,02,06.0,06.50,34335.25000,34335.27083,3.667,22,0
2026,01,02,07.0,07.50,34335.29167,34335.31250,2.667,12,0
2026,01,02,08.0,08.50,34335.33333,34335.35416,3.000,15,0
2026,01,02,09.0,09.50,34335.37500,34335.39583,2.000,7,0
2026,01,02,10.0,10.50,34335.41667,34335.43750,2.000,7,0
2026,01,02,11.0,11.50,34335.45833,34335.47916,3.000,15,0
2026,01,02,12.0,12.50,34335.50000,34335.52083,2.667,12,0
2026,01,02,13.0,13.50,34335.54167,34335.56250,3.333,18,0
2026,01,02,14.0,14.50,34335.58333,34335.60416,4.333,32,0
2026,01,02,15.0,15.50,34335.62500,34335.64583,3.667,22,0
2026,01,02,16.0,16.50,34335.66667,34335.68750,3.333,18,0
2026,01,02,17.0,17.50,34335.70833,34335.72916,3.000,15,0
2026,01,02,18.0,18.50,34335.75000,34335.77083,4.000,27,0
2026,01,02,19.0,19.50,34335.79167,34335.81250,5.333,56,0
2026,01,02,20.0,20.50,34335.83333,34335.85416,3.667,22,0
2026,01,02,21.0,21.50,34335.87500,34335.89583,4.333,32,0
2026,01,02,22.0,22.50,34335.91667,34335.93750,4.667,39,0
2026,01,02,23.0,23.50,34335.95833,34335.97916,4.333,32,0
2026,01,03,00.0,00.50,34336.00000,34336.02083,3.667,22,0
2026,01,03,01.0,01.50,34336.04167,34336.06250,2.667,12,0
2026,01,03,02.0,02.50,34336.08333,34336.10416,2.333,9,0
